
0
	original :
	The last office of the four carriage-horses was to draw Sir Walter, Miss Elliot, and Mrs Clay to Bath. The party drove off in very good spirits; Sir Walter prepared with condescending bows for all the afflicted tenantry and cottagers who might have had a hint to show themselves, and Anne walked up at the same time, in a sort of desolate tranquillity, to the Lodge, where she was to spend the first week.
	nl :
	The last task of the four carriage horses was to draw Sir Walter, Miss Elliot and Mrs Clay to Bath. In good spirits the party rode off; Sir Walter prepared with condescending bows for all the tormented tenant farmers and cottagers who might have had a hint to show themselves, and Anne walked at the same time, in a kind of desolate calm, to the Lodge, where she spent the first week.
	fr :
	The last office of the four carriage horses was to attract Sir Walter, Miss Elliot and Mrs Clay to Bath. The group left in a very good mood; Sir Walter prepared himself with condescending salutes for all the afflicted tenants and chalets who might have had a clue to show themselves, and Anne at the same time made her way, in a sort of desolate tranquility, to the Lodge, where she was to spend the first week.
	ru :
	The last service of the four carts was to bring Sir Walter, Miss Elliot, and Mrs. Clay to Bath. The group left in a very good mood; Sir Walter prepared himself with condescending bows to all the suffering tenants and summer residents who may have had a hint to show themselves, and Anne at the same time approached, in a kind of desolate calmness, to the Lodge, where she was to spend the first night. a week.
	zh-cn :
	The last task of the four carriages is to pull Sir Walter, Miss Elliott and Mrs. Clay to Bath. The party was very happy; Sir Walter bowed to all the tortured tenants and farmers who might suggest showing up, while Anne walked towards the hut with a desolate tranquility, where she would spend the first week.
	nl_fr :
	The last office of the four carriage horses was to attract Sir Walter, Miss Elliot and Mrs Clay to Bath. The group left in a very good mood; Sir Walter prepared himself with condescending salutes for all the afflicted tenants and chalets who might have had a clue to show themselves, and Anne at the same time made her way, in a sort of desolate tranquility, to the Lodge, where she was to spend the first week.
	ru_zh-cn :
	The last task of the four carriages is to pull Sir Walter, Miss Elliott and Mrs. Clay to Bath. The party was very happy; Sir Walter bowed to all the tortured tenants and farmers who might suggest showing up, while Anne walked towards the hut with a desolate tranquility, where she would spend the first week.
1
	original :
	Charles Musgrove, indeed, afterwards, shewed more of inclination; "the child was going on so well, and he wished so much to be introduced to Captain Wentworth, that, perhaps, he might join them in the evening; he would not dine from home, but he might walk in for half an hour." But in this he was eagerly opposed by his wife, with "Oh! no, indeed, Charles, I cannot bear to have you go away.  Only think if anything should happen?"
	nl :
	Charles Musgrove indeed showed more inclination afterwards; "The child was doing so well, and he was so eager to be introduced to Captain Wentworth that he might join them in the evening; he wouldn't eat from home, but he might walk in for half an hour." But in this he was eagerly opposed by his wife, saying, "Oh! no, indeed, Charles, I can't bear you leaving. Just think if something should happen?"
	fr :
	Charles Musgrove, in fact, subsequently showed more inclination; “The child was doing so well, and he wanted so much to be introduced to Captain Wentworth, that perhaps he could join them in the evening; he wouldn't dine from home, but he could walk for half an hour. "But in this he was strongly opposed by his wife, with" Oh! no, indeed, Charles, I cannot stand your leaving. Just think if something were to happen? "
	ru :
